"Spectrum Genius Cloud Platform"
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
"File Name","2020/02/24 13:21:07 #1","2020/02/24 13:21:07 #2","2020/02/24 13:21:07 #3","2020/02/24 13:21:07 #4","2020/02/24 13:21:07 #5","2020/02/24 13:21:07 #6","2020/02/24 13:21:07 #7","2020/02/24 13:21:07 #8","2020/02/24 13:21:07 #9","2020/02/24 13:21:07 #10","2020/02/24 13:21:07 #11","2020/02/24 13:21:07 #12","2020/02/24 13:21:07 #13","2020/02/24 13:21:07 #14","2020/02/24 13:21:07 #15","2020/02/24 13:21:07 #16","2020/02/24 13:21:07 #17","2020/02/24 13:21:07 #18","2020/02/24 13:21:07 #19","2020/02/24 13:21:07 #20","2020/02/24 13:21:07 #21","2020/02/24 13:21:07 #22","2020/02/24 13:21:07 #23","2020/02/24 13:21:07 #24","2020/02/24 13:21:07 #25","2020/02/24 13:21:07 #26","2020/02/24 13:21:07 #27","2020/02/24 13:21:07 #28","2020/02/24 13:21:07 #29","2020/02/24 13:21:07 #30","2020/02/24 13:21:07 #31","2020/02/24 13:21:07 #32","2020/02/24 13:21:07 #33","2020/02/24 13:21:07 #34","2020/02/24 13:21:07 #35","2020/02/24 13:21:07 #36","2020/02/24 13:21:07 #37","2020/02/24 13:21:07 #38","2020/02/24 13:21:07 #39","2020/02/24 13:21:07 #40","2020/02/24 13:21:07 #41","2020/02/24 13:21:07 #42","2020/02/24 13:21:07 #43","2020/02/24 13:21:07 #44","2020/02/24 13:21:07 #45","2020/02/24 13:21:07 #46","2020/02/24 13:21:07 #47","2020/02/24 13:21:07 #48","2020/02/24 13:21:07 #49","2020/02/24 13:21:07 #50","2020/02/24 13:21:07 #51","2020/02/24 13:21:07 #52","2020/02/24 13:21:07 #53","2020/02/24 13:21:07 #54","2020/02/24 13:21:07 #55","2020/02/24 13:21:07 #56","2020/02/24 13:21:07 #57","2020/02/24 13:21:07 #58","2020/02/24 13:21:07 #59","2020/02/24 13:21:07 #60",Max.,Min.,Range,Avg.
CIE_x,0.3833,0.3746,0.3773,0.3803,0.3756,0.3611,0.3794,0.3754,0.3836,0.3874,0.3601,0.3576,0.3392,0.3589,0.3793,0.3584,0.3676,0.3831,0.3841,0.3492,0.3821,0.3857,0.3663,0.3481,0.3835,0.3851,0.3857,0.3807,0.3728,0.3769,0.3694,0.3926,0.3900,0.3849,0.3406,0.3104,0.3262,0.3806,0.3809,0.3772,0.3783,0.3762,0.3722,0.3805,0.3730,0.3839,0.3578,0.3889,0.3829,0.3790,0.3814,0.3752,0.3309,0.3644,0.3843,0.3283,0.3812,0.3774,0.3579,0.3778,0.3926,0.3104,0.0823,0.3711
CIE_y,0.3888,0.3793,0.3821,0.3848,0.3817,0.3795,0.3858,0.3850,0.3886,0.3917,0.3724,0.3711,0.3582,0.3735,0.3826,0.3745,0.3776,0.3859,0.3856,0.3669,0.3840,0.3889,0.3780,0.3654,0.3841,0.3876,0.3858,0.3822,0.3817,0.3847,0.3748,0.3962,0.3921,0.3874,0.3623,0.3387,0.3537,0.3860,0.3846,0.3811,0.3851,0.3820,0.3800,0.3837,0.3769,0.3861,0.3709,0.3906,0.3831,0.3835,0.3834,0.3809,0.3543,0.3761,0.3883,0.3566,0.3845,0.3833,0.3725,0.3808,0.3962,0.3387,0.0575,0.3793
CCT(K),4011,4180,4123,4061,4169,4576,4093,4194,4001,3927,4570,4644,5244,4616,4074,4636,4370,3995,3966,4905,4008,3949,4413,4941,3972,3955,3927,4032,4247,4154,4301,3832,3865,3960,5199,6556,5763,4063,4044,4119,4117,4155,4252,4050,4210,3976,4635,3883,3980,4088,4023,4175,5568,4457,3983,5671,4036,4130,4641,4102,6556,3832,2724,4330
CRI(Ra),85,86,86,86,89,89,86,89,86,85,89,90,92,90,87,91,89,85,87,91,85,86,89,91,86,85,87,88,88,87,88,84,86,86,93,94,93,87,85,87,87,87,88,86,86,85,91,84,86,87,87,88,93,88,85,94,88,87,91,88,94,84,10,88
"Re(thru R1~R15)",79,81,81,81,84,85,81,85,80,79,84,85,88,86,82,88,84,80,82,87,80,80,85,87,80,79,81,83,83,81,83,77,80,80,91,91,90,81,79,82,81,82,83,80,80,79,86,78,80,81,81,82,91,83,79,91,83,82,87,83,91,77,14,83
Illuminance(lx),325,510,286,413,257,302,353,372,458,350,478,559,510,697,248,365,430,213,261,663,241,373,379,456,302,365,256,259,318,239,315,211,260,303,519,921,618,311,254,356,304,367,406,259,406,425,320,112,250,372,278,385,723,489,281,1263,150,355,383,283,1263,112,1150,385
"Foot Candle(fc)",30.2,47.4,26.5,38.3,23.9,28.1,32.8,34.6,42.6,32.5,44.4,51.9,47.4,64.7,23.0,33.9,40.0,19.8,24.3,61.6,22.4,34.6,35.2,42.4,28.0,33.9,23.8,24.1,29.6,22.2,29.2,19.6,24.1,28.1,48.2,85.6,57.4,28.9,23.6,33.1,28.3,34.1,37.7,24.0,37.7,39.5,29.7,10.4,23.2,34.6,25.8,35.7,67.2,45.4,26.1,117.3,13.9,33.0,35.6,26.3,117.3,10.4,106.9,35.8
CIE_u',0.2222,0.2203,0.2210,0.2218,0.2200,0.2114,0.2209,0.2186,0.2225,0.2238,0.2135,0.2123,0.2050,0.2122,0.2220,0.2115,0.2164,0.2232,0.2240,0.2084,0.2233,0.2238,0.2154,0.2081,0.2242,0.2239,0.2250,0.2232,0.2182,0.2196,0.2186,0.2254,0.2253,0.2238,0.2044,0.1927,0.1979,0.2216,0.2223,0.2213,0.2204,0.2203,0.2185,0.2224,0.2202,0.2237,0.2125,0.2251,0.2242,0.2215,0.2231,0.2200,0.2009,0.2149,0.2231,0.1983,0.2225,0.2205,0.2120,0.2218,0.2254,0.1927,0.0327,0.2179
CIE_v',0.5072,0.5019,0.5035,0.5051,0.5030,0.4999,0.5053,0.5044,0.5071,0.5090,0.4967,0.4957,0.4870,0.4970,0.5040,0.4973,0.5001,0.5059,0.5060,0.4925,0.5050,0.5076,0.5000,0.4917,0.5052,0.5070,0.5063,0.5040,0.5026,0.5045,0.4991,0.5117,0.5096,0.5069,0.4891,0.4730,0.4829,0.5056,0.5051,0.5030,0.5049,0.5032,0.5018,0.5046,0.5005,0.5061,0.4956,0.5088,0.5047,0.5043,0.5046,0.5026,0.4839,0.4989,0.5071,0.4846,0.5051,0.5040,0.4963,0.5030,0.5117,0.4730,0.0386,0.5012
